"","X","ref","article_id","study_id","participant_id","efN_id","dv_var","pct_female","age_mean","age_sd","dv_type","dv_synonym","intent","in_action","RQ","harm","agent_intel","aiType_a","aiType_b","PMA","PMC","responsible","responsibleCat","humanN","humanMean","humanSD","aiN","aiMean","aiSD","aiN.1","aiN.0","humanN.1","humanN.0","yi","vi","yi_orig","og_participant_id","og_efN_id","apa_ref","study_num","dv_var_cap","apa_ref_display","study_display","slab_labels"
"46",46,"bigman2018_s4",2,4,4,46,"permissible",57.9399141630901,36.0815450643777,11.5324599320893,"continuous","permissible","sidee","action",61,"harm","implied","AI","AI",-1.05180831231263,-2.07325531396061,-0.73385289231261,"punishment",114,4.52631578947368,2.14191431339892,119,2.88235294117647,2.09590589850638,NA,NA,NA,NA,-0.773467039761162,0.0184590921596505,NA,4,8,"Bigman et al., (2018)","Study 4","Permissible"," "," ","    "
"47",47,"bigman2018_s4",2,4,4,47,"permissible",57.9399141630901,36.0815450643777,11.5324599320893,"continuous","permissible","sidee","action",61,"harm","implied","AI","AI",-1.09529400224416,-2.07325531396061,-0.73385289231261,"punishment",114,4.52631578947368,2.14191431339892,119,2.88235294117647,2.09590589850638,NA,NA,NA,NA,-0.773467039761162,0.0184590921596505,NA,4,8,"Bigman et al., (2018)","Study 4","Permissible"," "," ","    "
"48",48,"bigman2018_s4",2,4,4,48,"permissible",57.9399141630901,36.0815450643777,11.5324599320893,"continuous","permissible","sidee","action",61,"harm","implied","AI","AI",1.03565142283516,-2.07325531396061,-0.73385289231261,"punishment",114,4.52631578947368,2.14191431339892,119,2.88235294117647,2.09590589850638,NA,NA,NA,NA,-0.773467039761162,0.0184590921596505,NA,4,8,"Bigman et al., (2018)","Study 4","Permissible"," "," ","    "
"49",49,"bigman2018_s5",2,5,5,49,"moral",61.3186813186813,37.6307692307693,11.6325883982502,"continuous","moral",NA,"action",59.5,"harm","implied","AI","AI",-1.14294585553574,-2.78641699822908,-0.329449583913678,"blame",231,4.9004329004329,2.12307197108132,224,3.49107142857143,2.16368534516967,NA,NA,NA,NA,-0.656519297761041,0.0092669357447545,NA,5,9,"Bigman et al., (2018)","Study 5","Moral"," ","Study 5","   Study 5"
"50",50,"bigman2018_s5",2,5,5,50,"moral",61.3186813186813,37.6307692307693,11.6325883982502,"continuous","moral",NA,"action",59.5,"harm","implied","AI","AI",-1.57530582569537,-2.78641699822908,-0.329449583913678,"blame",231,4.9004329004329,2.12307197108132,224,3.49107142857143,2.16368534516967,NA,NA,NA,NA,-0.656519297761041,0.0092669357447545,NA,5,9,"Bigman et al., (2018)","Study 5","Moral"," "," ","    "
"51",51,"bigman2018_s5",2,5,5,51,"moral",61.3186813186813,37.6307692307693,11.6325883982502,"continuous","moral",NA,"action",59.5,"harm","implied","AI","AI",-1.33059430744691,-2.78641699822908,-0.329449583913678,"blame",231,4.9004329004329,2.12307197108132,224,3.49107142857143,2.16368534516967,NA,NA,NA,NA,-0.656519297761041,0.0092669357447545,NA,5,9,"Bigman et al., (2018)","Study 5","Moral"," "," ","    "
"52",52,"bigman2018_s5",2,5,5,52,"moral",61.3186813186813,37.6307692307693,11.6325883982502,"continuous","moral",NA,"action",59.5,"harm","implied","AI","AI",-1.14294585553574,-2.78641699822908,-0.54014256227623,"punishment",231,4.9004329004329,2.12307197108132,224,3.49107142857143,2.16368534516967,NA,NA,NA,NA,-0.656519297761041,0.0092669357447545,NA,5,9,"Bigman et al., (2018)","Study 5","Moral"," "," ","    "
"53",53,"bigman2018_s5",2,5,5,53,"moral",61.3186813186813,37.6307692307693,11.6325883982502,"continuous","moral",NA,"action",59.5,"harm","implied","AI","AI",-1.57530582569537,-2.78641699822908,-0.54014256227623,"punishment",231,4.9004329004329,2.12307197108132,224,3.49107142857143,2.16368534516967,NA,NA,NA,NA,-0.656519297761041,0.0092669357447545,NA,5,9,"Bigman et al., (2018)","Study 5","Moral"," "," ","    "
"54",54,"bigman2018_s5",2,5,5,54,"moral",61.3186813186813,37.6307692307693,11.6325883982502,"continuous","moral",NA,"action",59.5,"harm","implied","AI","AI",-1.33059430744691,-2.78641699822908,-0.54014256227623,"punishment",231,4.9004329004329,2.12307197108132,224,3.49107142857143,2.16368534516967,NA,NA,NA,NA,-0.656519297761041,0.0092669357447545,NA,5,9,"Bigman et al., (2018)","Study 5","Moral"," "," ","    "
"55",55,"bigman2018_s5",2,5,5,55,"right",61.3186813186813,37.6307692307693,11.6325883982502,"continuous","right",NA,"action",59.5,"harm","implied","AI","AI",-1.14294585553574,-2.78641699822908,-0.329449583913678,"blame",231,4.63636363636364,2.36960329229301,224,3.42410714285714,2.26368268291237,NA,NA,NA,NA,-0.522093852178316,0.0090928306921718,NA,5,10,"Bigman et al., (2018)","Study 5","Right"," "," ","    "
"56",56,"bigman2018_s5",2,5,5,56,"right",61.3186813186813,37.6307692307693,11.6325883982502,"continuous","right",NA,"action",59.5,"harm","implied","AI","AI",-1.57530582569537,-2.78641699822908,-0.329449583913678,"blame",231,4.63636363636364,2.36960329229301,224,3.42410714285714,2.26368268291237,NA,NA,NA,NA,-0.522093852178316,0.0090928306921718,NA,5,10,"Bigman et al., (2018)","Study 5","Right"," "," ","    "
