"ref","article_id","study_id","participant_id","efN_id","pct_female","age_mean","age_sd","aiN","aiMean","aiSD","aiN.1","aiN.0","humanN","humanMean","humanSD","humanN.1","humanN.0","dv_var","dv_type","dv_synonym","intent","in_action","RQ","harm","agent_intel","aiType_a","aiType_b","PMA","PMC","responsible","responsibleCat","yi","vi"
"bigman2018_s3",2,3,3,23,59.2920353982301,38.8230088495575,13.2934270063537,108,3.68518518518519,2.30662657003908,NA,NA,118,4.99152542372881,2.28893945027832,NA,NA,"right","continuous","right","sidee","action",59.5,"harm","implied","AI","AI",-0.75312973904503,-3.45395615704231,-1.01925079229905,"punishment",-0.566709185933302,0.0184443649583687
"bigman2018_s3",2,3,3,24,59.2920353982301,38.8230088495575,13.2934270063537,108,3.68518518518519,2.30662657003908,NA,NA,118,4.99152542372881,2.28893945027832,NA,NA,"right","continuous","right","sidee","action",59.5,"harm","implied","AI","AI",-0.688828272494684,-3.45395615704231,-1.01925079229905,"punishment",-0.566709185933302,0.0184443649583687
"bigman2018_s3",2,3,3,25,59.2920353982301,38.8230088495575,13.2934270063537,108,3.94444444444444,2.47542437911115,NA,NA,118,5.17796610169492,2.3593109088573,NA,NA,"permissible","continuous","permissible","sidee","action",59.5,"harm","implied","AI","AI",-0.660618046519466,-3.45395615704231,-0.659323890600048,"blame",-0.508963073708156,0.0183069404207078
"bigman2018_s3",2,3,3,26,59.2920353982301,38.8230088495575,13.2934270063537,108,3.94444444444444,2.47542437911115,NA,NA,118,5.17796610169492,2.3593109088573,NA,NA,"permissible","continuous","permissible","sidee","action",59.5,"harm","implied","AI","AI",-0.75312973904503,-3.45395615704231,-0.659323890600048,"blame",-0.508963073708156,0.0183069404207078
"bigman2018_s3",2,3,3,27,59.2920353982301,38.8230088495575,13.2934270063537,108,3.94444444444444,2.47542437911115,NA,NA,118,5.17796610169492,2.3593109088573,NA,NA,"permissible","continuous","permissible","sidee","action",59.5,"harm","implied","AI","AI",-0.688828272494684,-3.45395615704231,-0.659323890600048,"blame",-0.508963073708156,0.0183069404207078
"bigman2018_s3",2,3,3,28,59.2920353982301,38.8230088495575,13.2934270063537,108,3.94444444444444,2.47542437911115,NA,NA,118,5.17796610169492,2.3593109088573,NA,NA,"permissible","continuous","permissible","sidee","action",59.5,"harm","implied","AI","AI",-0.660618046519466,-3.45395615704231,-1.01925079229905,"punishment",-0.508963073708156,0.0183069404207078
"bigman2018_s3",2,3,3,29,59.2920353982301,38.8230088495575,13.2934270063537,108,3.94444444444444,2.47542437911115,NA,NA,118,5.17796610169492,2.3593109088573,NA,NA,"permissible","continuous","permissible","sidee","action",59.5,"harm","implied","AI","AI",-0.75312973904503,-3.45395615704231,-1.01925079229905,"punishment",-0.508963073708156,0.0183069404207078
"bigman2018_s3",2,3,3,30,59.2920353982301,38.8230088495575,13.2934270063537,108,3.94444444444444,2.47542437911115,NA,NA,118,5.17796610169492,2.3593109088573,NA,NA,"permissible","continuous","permissible","sidee","action",59.5,"harm","implied","AI","AI",-0.688828272494684,-3.45395615704231,-1.01925079229905,"punishment",-0.508963073708156,0.0183069404207078
"bigman2018_s4",2,4,4,31,57.9399141630901,36.0815450643777,11.5324599320893,119,2.49579831932773,1.84975467718286,NA,NA,114,3.7719298245614,1.99128671755024,NA,NA,"moral","continuous","moral","sidee","action",61,"harm","implied","AI","AI",-1.05180831231263,-2.07325531396061,-0.450042631385116,"blame",-0.662390149611868,0.0181168377577319
"bigman2018_s4",2,4,4,32,57.9399141630901,36.0815450643777,11.5324599320893,119,2.49579831932773,1.84975467718286,NA,NA,114,3.7719298245614,1.99128671755024,NA,NA,"moral","continuous","moral","sidee","action",61,"harm","implied","AI","AI",-1.09529400224416,-2.07325531396061,-0.450042631385116,"blame",-0.662390149611868,0.0181168377577319
